idx	code	name	custom
0	53	Cast	-
1	53	Cast	-
2	39	Transpose	-
3	6	Dequantize	-
4	6	Dequantize	-
5	3	Conv2d	-
6	39	Transpose	-
7	6	Dequantize	-
8	0	Add	-
9	39	Transpose	-
10	6	Dequantize	-
11	22	Reshape	-
12	6	Dequantize	-
13	22	Reshape	-
14	40	Mean	-
15	41	Sub	-
16	92	Square	-
17	40	Mean	-
18	41	Sub	-
19	0	Add	-
20	75	Sqrt	-
21	42	Div	-
22	18	Mul	-
23	0	Add	-
24	34	Pad	-
25	22	Reshape	-
26	39	Transpose	-
27	22	Reshape	-
28	6	Dequantize	-
29	6	Dequantize	-
30	9	FullyConnected	-
31	22	Reshape	-
32	39	Transpose	-
33	22	Reshape	-
34	102	SplitV	-
35	22	Reshape	-
36	22	Reshape	-
37	22	Reshape	-
38	39	Transpose	-
39	6	Dequantize	-
40	126	BatchMatmul	-
41	39	Transpose	-
42	22	Reshape	-
43	39	Transpose	-
44	6	Dequantize	-
45	126	BatchMatmul	-
46	39	Transpose	-
47	22	Reshape	-
48	22	Reshape	-
49	39	Transpose	-
50	6	Dequantize	-
51	18	Mul	-
52	126	BatchMatmul	-
53	22	Reshape	-
54	0	Add	-
55	0	Add	-
56	22	Reshape	-
57	25	Softmax	-
58	126	BatchMatmul	-
59	22	Reshape	-
60	39	Transpose	-
61	22	Reshape	-
62	6	Dequantize	-
63	6	Dequantize	-
64	9	FullyConnected	-
65	22	Reshape	-
66	39	Transpose	-
67	22	Reshape	-
68	45	StridedSlice	-
69	0	Add	-
70	6	Dequantize	-
71	22	Reshape	-
72	6	Dequantize	-
73	22	Reshape	-
74	40	Mean	-
75	41	Sub	-
76	92	Square	-
77	40	Mean	-
78	41	Sub	-
79	0	Add	-
80	75	Sqrt	-
81	42	Div	-
82	18	Mul	-
83	0	Add	-
84	22	Reshape	-
85	6	Dequantize	-
86	6	Dequantize	-
87	9	FullyConnected	-
88	22	Reshape	-
89	6	Dequantize	-
90	42	Div	-
91	101	Abs	-
92	18	Mul	-
93	0	Add	-
94	42	Div	-
95	78	Pow	-
96	18	Mul	-
97	78	Pow	-
98	18	Mul	-
99	0	Add	-
100	78	Pow	-
101	18	Mul	-
102	0	Add	-
103	78	Pow	-
104	18	Mul	-
105	0	Add	-
106	78	Pow	-
107	18	Mul	-
108	0	Add	-
109	92	Square	-
110	59	Neg	-
111	47	Exp	-
112	18	Mul	-
113	41	Sub	-
114	158	Sign	-
115	18	Mul	-
116	6	Dequantize	-
117	0	Add	-
118	18	Mul	-
119	6	Dequantize	-
120	18	Mul	-
121	22	Reshape	-
122	6	Dequantize	-
123	6	Dequantize	-
124	9	FullyConnected	-
125	22	Reshape	-
126	0	Add	-
127	6	Dequantize	-
128	22	Reshape	-
129	6	Dequantize	-
130	22	Reshape	-
131	40	Mean	-
132	41	Sub	-
133	92	Square	-
134	40	Mean	-
135	41	Sub	-
136	0	Add	-
137	75	Sqrt	-
138	42	Div	-
139	18	Mul	-
140	0	Add	-
141	34	Pad	-
142	22	Reshape	-
143	39	Transpose	-
144	22	Reshape	-
145	6	Dequantize	-
146	6	Dequantize	-
147	9	FullyConnected	-
148	22	Reshape	-
149	39	Transpose	-
150	22	Reshape	-
151	102	SplitV	-
152	22	Reshape	-
153	22	Reshape	-
154	22	Reshape	-
155	39	Transpose	-
156	6	Dequantize	-
157	126	BatchMatmul	-
158	39	Transpose	-
159	22	Reshape	-
160	39	Transpose	-
161	6	Dequantize	-
162	126	BatchMatmul	-
163	39	Transpose	-
164	22	Reshape	-
165	22	Reshape	-
166	39	Transpose	-
167	6	Dequantize	-
168	18	Mul	-
169	126	BatchMatmul	-
170	22	Reshape	-
171	0	Add	-
172	0	Add	-
173	22	Reshape	-
174	25	Softmax	-
175	126	BatchMatmul	-
176	22	Reshape	-
177	39	Transpose	-
178	22	Reshape	-
179	6	Dequantize	-
180	6	Dequantize	-
181	9	FullyConnected	-
182	22	Reshape	-
183	39	Transpose	-
184	22	Reshape	-
185	45	StridedSlice	-
186	0	Add	-
187	6	Dequantize	-
188	22	Reshape	-
189	6	Dequantize	-
190	22	Reshape	-
191	40	Mean	-
192	41	Sub	-
193	92	Square	-
194	40	Mean	-
195	41	Sub	-
196	0	Add	-
197	75	Sqrt	-
198	42	Div	-
199	18	Mul	-
200	0	Add	-
201	22	Reshape	-
202	6	Dequantize	-
203	6	Dequantize	-
204	9	FullyConnected	-
205	22	Reshape	-
206	6	Dequantize	-
207	42	Div	-
208	101	Abs	-
209	18	Mul	-
210	0	Add	-
211	42	Div	-
212	78	Pow	-
213	18	Mul	-
214	78	Pow	-
215	18	Mul	-
216	0	Add	-
217	78	Pow	-
218	18	Mul	-
219	0	Add	-
220	78	Pow	-
221	18	Mul	-
222	0	Add	-
223	78	Pow	-
224	18	Mul	-
225	0	Add	-
226	92	Square	-
227	59	Neg	-
228	47	Exp	-
229	18	Mul	-
230	41	Sub	-
231	158	Sign	-
232	18	Mul	-
233	6	Dequantize	-
234	0	Add	-
235	18	Mul	-
236	6	Dequantize	-
237	18	Mul	-
238	22	Reshape	-
239	6	Dequantize	-
240	6	Dequantize	-
241	9	FullyConnected	-
242	22	Reshape	-
243	0	Add	-
244	6	Dequantize	-
245	22	Reshape	-
246	6	Dequantize	-
247	22	Reshape	-
248	40	Mean	-
249	41	Sub	-
250	92	Square	-
251	40	Mean	-
252	41	Sub	-
253	0	Add	-
254	75	Sqrt	-
255	42	Div	-
256	18	Mul	-
257	0	Add	-
258	22	Reshape	-
259	6	Dequantize	-
260	6	Dequantize	-
261	9	FullyConnected	-
262	22	Reshape	-
263	39	Transpose	-
264	22	Reshape	-
265	102	SplitV	-
266	22	Reshape	-
267	22	Reshape	-
268	22	Reshape	-
269	39	Transpose	-
270	6	Dequantize	-
271	126	BatchMatmul	-
272	39	Transpose	-
273	22	Reshape	-
274	39	Transpose	-
275	6	Dequantize	-
276	126	BatchMatmul	-
277	39	Transpose	-
278	22	Reshape	-
279	22	Reshape	-
280	39	Transpose	-
281	6	Dequantize	-
282	18	Mul	-
283	126	BatchMatmul	-
284	22	Reshape	-
285	0	Add	-
286	0	Add	-
287	22	Reshape	-
288	25	Softmax	-
289	126	BatchMatmul	-
290	22	Reshape	-
291	39	Transpose	-
292	22	Reshape	-
293	6	Dequantize	-
294	6	Dequantize	-
295	9	FullyConnected	-
296	22	Reshape	-
297	0	Add	-
298	6	Dequantize	-
299	22	Reshape	-
300	6	Dequantize	-
301	22	Reshape	-
302	40	Mean	-
303	41	Sub	-
304	92	Square	-
305	40	Mean	-
306	41	Sub	-
307	0	Add	-
308	75	Sqrt	-
309	42	Div	-
310	18	Mul	-
311	0	Add	-
312	22	Reshape	-
313	6	Dequantize	-
314	6	Dequantize	-
315	9	FullyConnected	-
316	22	Reshape	-
317	6	Dequantize	-
318	42	Div	-
319	101	Abs	-
320	18	Mul	-
321	0	Add	-
322	42	Div	-
323	78	Pow	-
324	18	Mul	-
325	78	Pow	-
326	18	Mul	-
327	0	Add	-
328	78	Pow	-
329	18	Mul	-
330	0	Add	-
331	78	Pow	-
332	18	Mul	-
333	0	Add	-
334	78	Pow	-
335	18	Mul	-
336	0	Add	-
337	92	Square	-
338	59	Neg	-
339	47	Exp	-
340	18	Mul	-
341	41	Sub	-
342	158	Sign	-
343	18	Mul	-
344	6	Dequantize	-
345	0	Add	-
346	18	Mul	-
347	6	Dequantize	-
348	18	Mul	-
349	22	Reshape	-
350	6	Dequantize	-
351	6	Dequantize	-
352	9	FullyConnected	-
353	22	Reshape	-
354	0	Add	-
355	6	Dequantize	-
356	22	Reshape	-
357	6	Dequantize	-
358	22	Reshape	-
359	40	Mean	-
360	41	Sub	-
361	92	Square	-
362	40	Mean	-
363	41	Sub	-
364	0	Add	-
365	75	Sqrt	-
366	42	Div	-
367	18	Mul	-
368	0	Add	-
369	34	Pad	-
370	22	Reshape	-
371	39	Transpose	-
372	22	Reshape	-
373	6	Dequantize	-
374	6	Dequantize	-
375	9	FullyConnected	-
376	22	Reshape	-
377	39	Transpose	-
378	22	Reshape	-
379	102	SplitV	-
380	22	Reshape	-
381	22	Reshape	-
382	22	Reshape	-
383	39	Transpose	-
384	6	Dequantize	-
385	126	BatchMatmul	-
386	39	Transpose	-
387	22	Reshape	-
388	39	Transpose	-
389	6	Dequantize	-
390	126	BatchMatmul	-
391	39	Transpose	-
392	22	Reshape	-
393	22	Reshape	-
394	39	Transpose	-
395	6	Dequantize	-
396	18	Mul	-
397	126	BatchMatmul	-
398	22	Reshape	-
399	0	Add	-
400	0	Add	-
401	22	Reshape	-
402	25	Softmax	-
403	126	BatchMatmul	-
404	22	Reshape	-
405	39	Transpose	-
406	22	Reshape	-
407	6	Dequantize	-
408	6	Dequantize	-
409	9	FullyConnected	-
410	22	Reshape	-
411	39	Transpose	-
412	22	Reshape	-
413	45	StridedSlice	-
414	0	Add	-
415	6	Dequantize	-
416	22	Reshape	-
417	6	Dequantize	-
418	22	Reshape	-
419	40	Mean	-
420	41	Sub	-
421	92	Square	-
422	40	Mean	-
423	41	Sub	-
424	0	Add	-
425	75	Sqrt	-
426	42	Div	-
427	18	Mul	-
428	0	Add	-
429	22	Reshape	-
430	6	Dequantize	-
431	6	Dequantize	-
432	9	FullyConnected	-
433	22	Reshape	-
434	6	Dequantize	-
435	42	Div	-
436	101	Abs	-
437	18	Mul	-
438	0	Add	-
439	42	Div	-
440	78	Pow	-
441	18	Mul	-
442	78	Pow	-
443	18	Mul	-
444	0	Add	-
445	78	Pow	-
446	18	Mul	-
447	0	Add	-
448	78	Pow	-
449	18	Mul	-
450	0	Add	-
451	78	Pow	-
452	18	Mul	-
453	0	Add	-
454	92	Square	-
455	59	Neg	-
456	47	Exp	-
457	18	Mul	-
458	41	Sub	-
459	158	Sign	-
460	18	Mul	-
461	6	Dequantize	-
462	0	Add	-
463	18	Mul	-
464	6	Dequantize	-
465	18	Mul	-
466	22	Reshape	-
467	6	Dequantize	-
468	6	Dequantize	-
469	9	FullyConnected	-
470	22	Reshape	-
471	0	Add	-
472	6	Dequantize	-
473	22	Reshape	-
474	6	Dequantize	-
475	22	Reshape	-
476	40	Mean	-
477	41	Sub	-
478	92	Square	-
479	40	Mean	-
480	41	Sub	-
481	0	Add	-
482	75	Sqrt	-
483	42	Div	-
484	18	Mul	-
485	0	Add	-
486	34	Pad	-
487	22	Reshape	-
488	39	Transpose	-
489	22	Reshape	-
490	6	Dequantize	-
491	6	Dequantize	-
492	9	FullyConnected	-
493	22	Reshape	-
494	39	Transpose	-
495	22	Reshape	-
496	102	SplitV	-
497	22	Reshape	-
498	22	Reshape	-
499	22	Reshape	-
500	39	Transpose	-
501	6	Dequantize	-
502	126	BatchMatmul	-
503	39	Transpose	-
504	22	Reshape	-
505	39	Transpose	-
506	6	Dequantize	-
507	126	BatchMatmul	-
508	39	Transpose	-
509	22	Reshape	-
510	22	Reshape	-
511	39	Transpose	-
512	6	Dequantize	-
513	18	Mul	-
514	126	BatchMatmul	-
515	22	Reshape	-
516	0	Add	-
517	0	Add	-
518	22	Reshape	-
519	25	Softmax	-
520	126	BatchMatmul	-
521	22	Reshape	-
522	39	Transpose	-
523	22	Reshape	-
524	6	Dequantize	-
525	6	Dequantize	-
526	9	FullyConnected	-
527	22	Reshape	-
528	39	Transpose	-
529	22	Reshape	-
530	45	StridedSlice	-
531	0	Add	-
532	6	Dequantize	-
533	22	Reshape	-
534	6	Dequantize	-
535	22	Reshape	-
536	40	Mean	-
537	41	Sub	-
538	92	Square	-
539	40	Mean	-
540	41	Sub	-
541	0	Add	-
542	75	Sqrt	-
543	42	Div	-
544	18	Mul	-
545	0	Add	-
546	22	Reshape	-
547	6	Dequantize	-
548	6	Dequantize	-
549	9	FullyConnected	-
550	22	Reshape	-
551	6	Dequantize	-
552	42	Div	-
553	101	Abs	-
554	18	Mul	-
555	0	Add	-
556	42	Div	-
557	78	Pow	-
558	18	Mul	-
559	78	Pow	-
560	18	Mul	-
561	0	Add	-
562	78	Pow	-
563	18	Mul	-
564	0	Add	-
565	78	Pow	-
566	18	Mul	-
567	0	Add	-
568	78	Pow	-
569	18	Mul	-
570	0	Add	-
571	92	Square	-
572	59	Neg	-
573	47	Exp	-
574	18	Mul	-
575	41	Sub	-
576	158	Sign	-
577	18	Mul	-
578	6	Dequantize	-
579	0	Add	-
580	18	Mul	-
581	6	Dequantize	-
582	18	Mul	-
583	22	Reshape	-
584	6	Dequantize	-
585	6	Dequantize	-
586	9	FullyConnected	-
587	22	Reshape	-
588	0	Add	-
589	6	Dequantize	-
590	22	Reshape	-
591	6	Dequantize	-
592	22	Reshape	-
593	40	Mean	-
594	41	Sub	-
595	92	Square	-
596	40	Mean	-
597	41	Sub	-
598	0	Add	-
599	75	Sqrt	-
600	42	Div	-
601	18	Mul	-
602	0	Add	-
603	22	Reshape	-
604	6	Dequantize	-
605	6	Dequantize	-
606	9	FullyConnected	-
607	22	Reshape	-
608	39	Transpose	-
609	22	Reshape	-
610	102	SplitV	-
611	22	Reshape	-
612	22	Reshape	-
613	22	Reshape	-
614	39	Transpose	-
615	6	Dequantize	-
616	126	BatchMatmul	-
617	39	Transpose	-
618	22	Reshape	-
619	39	Transpose	-
620	6	Dequantize	-
621	126	BatchMatmul	-
622	39	Transpose	-
623	22	Reshape	-
624	22	Reshape	-
625	39	Transpose	-
626	6	Dequantize	-
627	18	Mul	-
628	126	BatchMatmul	-
629	22	Reshape	-
630	0	Add	-
631	0	Add	-
632	22	Reshape	-
633	25	Softmax	-
634	126	BatchMatmul	-
635	22	Reshape	-
636	39	Transpose	-
637	22	Reshape	-
638	6	Dequantize	-
639	6	Dequantize	-
640	9	FullyConnected	-
641	22	Reshape	-
642	0	Add	-
643	6	Dequantize	-
644	22	Reshape	-
645	6	Dequantize	-
646	22	Reshape	-
647	40	Mean	-
648	41	Sub	-
649	92	Square	-
650	40	Mean	-
651	41	Sub	-
652	0	Add	-
653	75	Sqrt	-
654	42	Div	-
655	18	Mul	-
656	0	Add	-
657	22	Reshape	-
658	6	Dequantize	-
659	6	Dequantize	-
660	9	FullyConnected	-
661	22	Reshape	-
662	6	Dequantize	-
663	42	Div	-
664	101	Abs	-
665	18	Mul	-
666	0	Add	-
667	42	Div	-
668	78	Pow	-
669	18	Mul	-
670	78	Pow	-
671	18	Mul	-
672	0	Add	-
673	78	Pow	-
674	18	Mul	-
675	0	Add	-
676	78	Pow	-
677	18	Mul	-
678	0	Add	-
679	78	Pow	-
680	18	Mul	-
681	0	Add	-
682	92	Square	-
683	59	Neg	-
684	47	Exp	-
685	18	Mul	-
686	41	Sub	-
687	158	Sign	-
688	18	Mul	-
689	6	Dequantize	-
690	0	Add	-
691	18	Mul	-
692	6	Dequantize	-
693	18	Mul	-
694	22	Reshape	-
695	6	Dequantize	-
696	6	Dequantize	-
697	9	FullyConnected	-
698	22	Reshape	-
699	0	Add	-
700	6	Dequantize	-
701	22	Reshape	-
702	6	Dequantize	-
703	22	Reshape	-
704	40	Mean	-
705	41	Sub	-
706	92	Square	-
707	40	Mean	-
708	41	Sub	-
709	0	Add	-
710	75	Sqrt	-
711	42	Div	-
712	18	Mul	-
713	0	Add	-
714	34	Pad	-
715	22	Reshape	-
716	39	Transpose	-
717	22	Reshape	-
718	6	Dequantize	-
719	6	Dequantize	-
720	9	FullyConnected	-
721	22	Reshape	-
722	39	Transpose	-
723	22	Reshape	-
724	102	SplitV	-
725	22	Reshape	-
726	22	Reshape	-
727	22	Reshape	-
728	39	Transpose	-
729	6	Dequantize	-
730	126	BatchMatmul	-
731	39	Transpose	-
732	22	Reshape	-
733	39	Transpose	-
734	6	Dequantize	-
735	126	BatchMatmul	-
736	39	Transpose	-
737	22	Reshape	-
738	22	Reshape	-
739	39	Transpose	-
740	6	Dequantize	-
741	18	Mul	-
742	126	BatchMatmul	-
743	22	Reshape	-
744	0	Add	-
745	0	Add	-
746	22	Reshape	-
747	25	Softmax	-
748	126	BatchMatmul	-
749	22	Reshape	-
750	39	Transpose	-
751	22	Reshape	-
752	6	Dequantize	-
753	6	Dequantize	-
754	9	FullyConnected	-
755	22	Reshape	-
756	39	Transpose	-
757	22	Reshape	-
758	45	StridedSlice	-
759	0	Add	-
760	6	Dequantize	-
761	22	Reshape	-
762	6	Dequantize	-
763	22	Reshape	-
764	40	Mean	-
765	41	Sub	-
766	92	Square	-
767	40	Mean	-
768	41	Sub	-
769	0	Add	-
770	75	Sqrt	-
771	42	Div	-
772	18	Mul	-
773	0	Add	-
774	22	Reshape	-
775	6	Dequantize	-
776	6	Dequantize	-
777	9	FullyConnected	-
778	22	Reshape	-
779	6	Dequantize	-
780	42	Div	-
781	101	Abs	-
782	18	Mul	-
783	0	Add	-
784	42	Div	-
785	78	Pow	-
786	18	Mul	-
787	78	Pow	-
788	18	Mul	-
789	0	Add	-
790	78	Pow	-
791	18	Mul	-
792	0	Add	-
793	78	Pow	-
794	18	Mul	-
795	0	Add	-
796	78	Pow	-
797	18	Mul	-
798	0	Add	-
799	92	Square	-
800	59	Neg	-
801	47	Exp	-
802	18	Mul	-
803	41	Sub	-
804	158	Sign	-
805	18	Mul	-
806	6	Dequantize	-
807	0	Add	-
808	18	Mul	-
809	6	Dequantize	-
810	18	Mul	-
811	22	Reshape	-
812	6	Dequantize	-
