idx	code	name	custom
0	53	Cast	-
1	53	Cast	-
2	39	Transpose	-
3	6	Dequantize	-
4	6	Dequantize	-
5	3	Conv2d	-
6	39	Transpose	-
7	6	Dequantize	-
8	0	Add	-
9	39	Transpose	-
10	6	Dequantize	-
11	6	Dequantize	-
12	32	Custom	custom_call.LayerNorm
13	34	Pad	-
14	22	Reshape	-
15	39	Transpose	-
16	22	Reshape	-
17	6	Dequantize	-
18	6	Dequantize	-
19	39	Transpose	-
20	9	FullyConnected	-
21	22	Reshape	-
22	39	Transpose	-
23	22	Reshape	-
24	102	SplitV	-
25	22	Reshape	-
26	22	Reshape	-
27	22	Reshape	-
28	39	Transpose	-
29	6	Dequantize	-
30	126	BatchMatmul	-
31	39	Transpose	-
32	22	Reshape	-
33	39	Transpose	-
34	6	Dequantize	-
35	126	BatchMatmul	-
36	39	Transpose	-
37	22	Reshape	-
38	22	Reshape	-
39	39	Transpose	-
40	6	Dequantize	-
41	22	Reshape	-
42	18	Mul	-
43	126	BatchMatmul	-
44	22	Reshape	-
45	0	Add	-
46	0	Add	-
47	22	Reshape	-
48	25	Softmax	-
49	126	BatchMatmul	-
50	22	Reshape	-
51	39	Transpose	-
52	22	Reshape	-
53	6	Dequantize	-
54	6	Dequantize	-
55	39	Transpose	-
56	9	FullyConnected	-
57	22	Reshape	-
58	39	Transpose	-
59	22	Reshape	-
60	45	StridedSlice	-
61	0	Add	-
62	6	Dequantize	-
63	6	Dequantize	-
64	32	Custom	custom_call.LayerNorm
65	22	Reshape	-
66	6	Dequantize	-
67	6	Dequantize	-
68	39	Transpose	-
69	9	FullyConnected	-
70	22	Reshape	-
71	6	Dequantize	-
72	22	Reshape	-
73	42	Div	-
74	101	Abs	-
75	18	Mul	-
76	0	Add	-
77	42	Div	-
78	78	Pow	-
79	18	Mul	-
80	78	Pow	-
81	18	Mul	-
82	0	Add	-
83	78	Pow	-
84	18	Mul	-
85	0	Add	-
86	78	Pow	-
87	18	Mul	-
88	0	Add	-
89	78	Pow	-
90	18	Mul	-
91	0	Add	-
92	92	Square	-
93	59	Neg	-
94	47	Exp	-
95	18	Mul	-
96	41	Sub	-
97	158	Sign	-
98	18	Mul	-
99	6	Dequantize	-
100	22	Reshape	-
101	0	Add	-
102	18	Mul	-
103	6	Dequantize	-
104	22	Reshape	-
105	18	Mul	-
106	22	Reshape	-
107	6	Dequantize	-
108	6	Dequantize	-
109	39	Transpose	-
110	9	FullyConnected	-
111	22	Reshape	-
112	0	Add	-
113	6	Dequantize	-
114	6	Dequantize	-
115	32	Custom	custom_call.LayerNorm
116	34	Pad	-
117	22	Reshape	-
118	39	Transpose	-
119	22	Reshape	-
120	6	Dequantize	-
121	6	Dequantize	-
122	39	Transpose	-
123	9	FullyConnected	-
124	22	Reshape	-
125	39	Transpose	-
126	22	Reshape	-
127	102	SplitV	-
128	22	Reshape	-
129	22	Reshape	-
130	22	Reshape	-
131	39	Transpose	-
132	6	Dequantize	-
133	126	BatchMatmul	-
134	39	Transpose	-
135	22	Reshape	-
136	39	Transpose	-
137	6	Dequantize	-
138	126	BatchMatmul	-
139	39	Transpose	-
140	22	Reshape	-
141	22	Reshape	-
142	39	Transpose	-
143	6	Dequantize	-
144	22	Reshape	-
145	18	Mul	-
146	126	BatchMatmul	-
147	22	Reshape	-
148	0	Add	-
149	0	Add	-
150	22	Reshape	-
151	25	Softmax	-
152	126	BatchMatmul	-
153	22	Reshape	-
154	39	Transpose	-
155	22	Reshape	-
156	6	Dequantize	-
157	6	Dequantize	-
158	39	Transpose	-
159	9	FullyConnected	-
160	22	Reshape	-
161	39	Transpose	-
162	22	Reshape	-
163	45	StridedSlice	-
164	0	Add	-
165	6	Dequantize	-
166	6	Dequantize	-
167	32	Custom	custom_call.LayerNorm
168	22	Reshape	-
169	6	Dequantize	-
170	6	Dequantize	-
171	39	Transpose	-
172	9	FullyConnected	-
173	22	Reshape	-
174	6	Dequantize	-
175	22	Reshape	-
176	42	Div	-
177	101	Abs	-
178	18	Mul	-
179	0	Add	-
180	42	Div	-
181	78	Pow	-
182	18	Mul	-
183	78	Pow	-
184	18	Mul	-
185	0	Add	-
186	78	Pow	-
187	18	Mul	-
188	0	Add	-
189	78	Pow	-
190	18	Mul	-
191	0	Add	-
192	78	Pow	-
193	18	Mul	-
194	0	Add	-
195	92	Square	-
196	59	Neg	-
197	47	Exp	-
198	18	Mul	-
199	41	Sub	-
200	158	Sign	-
201	18	Mul	-
202	6	Dequantize	-
203	22	Reshape	-
204	0	Add	-
205	18	Mul	-
206	6	Dequantize	-
207	22	Reshape	-
208	18	Mul	-
209	22	Reshape	-
210	6	Dequantize	-
211	6	Dequantize	-
212	39	Transpose	-
213	9	FullyConnected	-
214	22	Reshape	-
215	0	Add	-
216	6	Dequantize	-
217	6	Dequantize	-
218	32	Custom	custom_call.LayerNorm
219	22	Reshape	-
220	6	Dequantize	-
221	6	Dequantize	-
222	39	Transpose	-
223	9	FullyConnected	-
224	22	Reshape	-
225	39	Transpose	-
226	22	Reshape	-
227	102	SplitV	-
228	22	Reshape	-
229	22	Reshape	-
230	22	Reshape	-
231	39	Transpose	-
232	6	Dequantize	-
233	126	BatchMatmul	-
234	39	Transpose	-
235	22	Reshape	-
236	39	Transpose	-
237	6	Dequantize	-
238	126	BatchMatmul	-
239	39	Transpose	-
240	22	Reshape	-
241	22	Reshape	-
242	39	Transpose	-
243	6	Dequantize	-
244	22	Reshape	-
245	18	Mul	-
246	126	BatchMatmul	-
247	22	Reshape	-
248	0	Add	-
249	0	Add	-
250	22	Reshape	-
251	25	Softmax	-
252	126	BatchMatmul	-
253	22	Reshape	-
254	39	Transpose	-
255	22	Reshape	-
256	6	Dequantize	-
257	6	Dequantize	-
258	39	Transpose	-
259	9	FullyConnected	-
260	22	Reshape	-
261	0	Add	-
262	6	Dequantize	-
263	6	Dequantize	-
264	32	Custom	custom_call.LayerNorm
265	22	Reshape	-
266	6	Dequantize	-
267	6	Dequantize	-
268	39	Transpose	-
269	9	FullyConnected	-
270	22	Reshape	-
271	6	Dequantize	-
272	22	Reshape	-
273	42	Div	-
274	101	Abs	-
275	18	Mul	-
276	0	Add	-
277	42	Div	-
278	78	Pow	-
279	18	Mul	-
280	78	Pow	-
281	18	Mul	-
282	0	Add	-
283	78	Pow	-
284	18	Mul	-
285	0	Add	-
286	78	Pow	-
287	18	Mul	-
288	0	Add	-
289	78	Pow	-
290	18	Mul	-
291	0	Add	-
292	92	Square	-
293	59	Neg	-
294	47	Exp	-
295	18	Mul	-
296	41	Sub	-
297	158	Sign	-
298	18	Mul	-
299	6	Dequantize	-
300	22	Reshape	-
301	0	Add	-
302	18	Mul	-
303	6	Dequantize	-
304	22	Reshape	-
305	18	Mul	-
306	22	Reshape	-
307	6	Dequantize	-
308	6	Dequantize	-
309	39	Transpose	-
310	9	FullyConnected	-
311	22	Reshape	-
312	0	Add	-
313	6	Dequantize	-
314	6	Dequantize	-
315	32	Custom	custom_call.LayerNorm
316	34	Pad	-
317	22	Reshape	-
318	39	Transpose	-
319	22	Reshape	-
320	6	Dequantize	-
321	6	Dequantize	-
322	39	Transpose	-
323	9	FullyConnected	-
324	22	Reshape	-
325	39	Transpose	-
326	22	Reshape	-
327	102	SplitV	-
328	22	Reshape	-
329	22	Reshape	-
330	22	Reshape	-
331	39	Transpose	-
332	6	Dequantize	-
333	126	BatchMatmul	-
334	39	Transpose	-
335	22	Reshape	-
336	39	Transpose	-
337	6	Dequantize	-
338	126	BatchMatmul	-
339	39	Transpose	-
340	22	Reshape	-
341	22	Reshape	-
342	39	Transpose	-
343	6	Dequantize	-
344	22	Reshape	-
345	18	Mul	-
346	126	BatchMatmul	-
347	22	Reshape	-
348	0	Add	-
349	0	Add	-
350	22	Reshape	-
351	25	Softmax	-
352	126	BatchMatmul	-
353	22	Reshape	-
354	39	Transpose	-
355	22	Reshape	-
356	6	Dequantize	-
357	6	Dequantize	-
358	39	Transpose	-
359	9	FullyConnected	-
360	22	Reshape	-
361	39	Transpose	-
362	22	Reshape	-
363	45	StridedSlice	-
364	0	Add	-
365	6	Dequantize	-
366	6	Dequantize	-
367	32	Custom	custom_call.LayerNorm
368	22	Reshape	-
369	6	Dequantize	-
370	6	Dequantize	-
371	39	Transpose	-
372	9	FullyConnected	-
373	22	Reshape	-
374	6	Dequantize	-
375	22	Reshape	-
376	42	Div	-
377	101	Abs	-
378	18	Mul	-
379	0	Add	-
380	42	Div	-
381	78	Pow	-
382	18	Mul	-
383	78	Pow	-
384	18	Mul	-
385	0	Add	-
386	78	Pow	-
387	18	Mul	-
388	0	Add	-
389	78	Pow	-
390	18	Mul	-
391	0	Add	-
392	78	Pow	-
393	18	Mul	-
394	0	Add	-
395	92	Square	-
396	59	Neg	-
397	47	Exp	-
398	18	Mul	-
399	41	Sub	-
400	158	Sign	-
401	18	Mul	-
402	6	Dequantize	-
403	22	Reshape	-
404	0	Add	-
405	18	Mul	-
406	6	Dequantize	-
407	22	Reshape	-
408	18	Mul	-
409	22	Reshape	-
410	6	Dequantize	-
411	6	Dequantize	-
412	39	Transpose	-
413	9	FullyConnected	-
414	22	Reshape	-
415	0	Add	-
416	6	Dequantize	-
417	6	Dequantize	-
418	32	Custom	custom_call.LayerNorm
419	34	Pad	-
420	22	Reshape	-
421	39	Transpose	-
422	22	Reshape	-
423	6	Dequantize	-
424	6	Dequantize	-
425	39	Transpose	-
426	9	FullyConnected	-
427	22	Reshape	-
428	39	Transpose	-
429	22	Reshape	-
430	102	SplitV	-
431	22	Reshape	-
432	22	Reshape	-
433	22	Reshape	-
434	39	Transpose	-
435	6	Dequantize	-
436	126	BatchMatmul	-
437	39	Transpose	-
438	22	Reshape	-
439	39	Transpose	-
440	6	Dequantize	-
441	126	BatchMatmul	-
442	39	Transpose	-
443	22	Reshape	-
444	22	Reshape	-
445	39	Transpose	-
446	6	Dequantize	-
447	22	Reshape	-
448	18	Mul	-
449	126	BatchMatmul	-
450	22	Reshape	-
451	0	Add	-
452	0	Add	-
453	22	Reshape	-
454	25	Softmax	-
455	126	BatchMatmul	-
456	22	Reshape	-
457	39	Transpose	-
458	22	Reshape	-
459	6	Dequantize	-
460	6	Dequantize	-
461	39	Transpose	-
462	9	FullyConnected	-
463	22	Reshape	-
464	39	Transpose	-
465	22	Reshape	-
466	45	StridedSlice	-
467	0	Add	-
468	6	Dequantize	-
469	6	Dequantize	-
470	32	Custom	custom_call.LayerNorm
471	22	Reshape	-
472	6	Dequantize	-
473	6	Dequantize	-
474	39	Transpose	-
475	9	FullyConnected	-
476	22	Reshape	-
477	6	Dequantize	-
478	22	Reshape	-
479	42	Div	-
480	101	Abs	-
481	18	Mul	-
482	0	Add	-
483	42	Div	-
484	78	Pow	-
485	18	Mul	-
486	78	Pow	-
487	18	Mul	-
488	0	Add	-
489	78	Pow	-
490	18	Mul	-
491	0	Add	-
492	78	Pow	-
493	18	Mul	-
494	0	Add	-
495	78	Pow	-
496	18	Mul	-
497	0	Add	-
498	92	Square	-
499	59	Neg	-
500	47	Exp	-
501	18	Mul	-
502	41	Sub	-
503	158	Sign	-
504	18	Mul	-
505	6	Dequantize	-
506	22	Reshape	-
507	0	Add	-
508	18	Mul	-
509	6	Dequantize	-
510	22	Reshape	-
511	18	Mul	-
512	22	Reshape	-
513	6	Dequantize	-
514	6	Dequantize	-
515	39	Transpose	-
516	9	FullyConnected	-
517	22	Reshape	-
518	0	Add	-
519	6	Dequantize	-
520	6	Dequantize	-
521	32	Custom	custom_call.LayerNorm
522	22	Reshape	-
523	6	Dequantize	-
524	6	Dequantize	-
525	39	Transpose	-
526	9	FullyConnected	-
527	22	Reshape	-
528	39	Transpose	-
529	22	Reshape	-
530	102	SplitV	-
531	22	Reshape	-
532	22	Reshape	-
533	22	Reshape	-
534	39	Transpose	-
535	6	Dequantize	-
536	126	BatchMatmul	-
537	39	Transpose	-
538	22	Reshape	-
539	39	Transpose	-
540	6	Dequantize	-
541	126	BatchMatmul	-
542	39	Transpose	-
543	22	Reshape	-
544	22	Reshape	-
545	39	Transpose	-
546	6	Dequantize	-
547	22	Reshape	-
548	18	Mul	-
549	126	BatchMatmul	-
550	22	Reshape	-
551	0	Add	-
552	0	Add	-
553	22	Reshape	-
554	25	Softmax	-
555	126	BatchMatmul	-
556	22	Reshape	-
557	39	Transpose	-
558	22	Reshape	-
559	6	Dequantize	-
560	6	Dequantize	-
561	39	Transpose	-
562	9	FullyConnected	-
563	22	Reshape	-
564	0	Add	-
565	6	Dequantize	-
566	6	Dequantize	-
567	32	Custom	custom_call.LayerNorm
568	22	Reshape	-
569	6	Dequantize	-
570	6	Dequantize	-
571	39	Transpose	-
572	9	FullyConnected	-
573	22	Reshape	-
574	6	Dequantize	-
575	22	Reshape	-
576	42	Div	-
577	101	Abs	-
578	18	Mul	-
579	0	Add	-
580	42	Div	-
581	78	Pow	-
582	18	Mul	-
583	78	Pow	-
584	18	Mul	-
585	0	Add	-
586	78	Pow	-
587	18	Mul	-
588	0	Add	-
589	78	Pow	-
590	18	Mul	-
591	0	Add	-
592	78	Pow	-
593	18	Mul	-
594	0	Add	-
595	92	Square	-
596	59	Neg	-
597	47	Exp	-
598	18	Mul	-
599	41	Sub	-
600	158	Sign	-
601	18	Mul	-
602	6	Dequantize	-
603	22	Reshape	-
604	0	Add	-
605	18	Mul	-
606	6	Dequantize	-
607	22	Reshape	-
608	18	Mul	-
609	22	Reshape	-
610	6	Dequantize	-
611	6	Dequantize	-
612	39	Transpose	-
613	9	FullyConnected	-
614	22	Reshape	-
615	0	Add	-
616	6	Dequantize	-
617	6	Dequantize	-
618	32	Custom	custom_call.LayerNorm
619	34	Pad	-
620	22	Reshape	-
621	39	Transpose	-
622	22	Reshape	-
623	6	Dequantize	-
624	6	Dequantize	-
625	39	Transpose	-
626	9	FullyConnected	-
627	22	Reshape	-
628	39	Transpose	-
629	22	Reshape	-
630	102	SplitV	-
631	22	Reshape	-
632	22	Reshape	-
633	22	Reshape	-
634	39	Transpose	-
635	6	Dequantize	-
636	126	BatchMatmul	-
637	39	Transpose	-
638	22	Reshape	-
639	39	Transpose	-
640	6	Dequantize	-
641	126	BatchMatmul	-
642	39	Transpose	-
643	22	Reshape	-
644	22	Reshape	-
645	39	Transpose	-
646	6	Dequantize	-
647	22	Reshape	-
648	18	Mul	-
649	126	BatchMatmul	-
650	22	Reshape	-
651	0	Add	-
652	0	Add	-
653	22	Reshape	-
654	25	Softmax	-
655	126	BatchMatmul	-
656	22	Reshape	-
657	39	Transpose	-
658	22	Reshape	-
659	6	Dequantize	-
660	6	Dequantize	-
661	39	Transpose	-
662	9	FullyConnected	-
663	22	Reshape	-
664	39	Transpose	-
665	22	Reshape	-
666	45	StridedSlice	-
667	0	Add	-
668	6	Dequantize	-
669	6	Dequantize	-
670	32	Custom	custom_call.LayerNorm
671	22	Reshape	-
672	6	Dequantize	-
673	6	Dequantize	-
674	39	Transpose	-
675	9	FullyConnected	-
676	22	Reshape	-
677	6	Dequantize	-
678	22	Reshape	-
679	42	Div	-
680	101	Abs	-
681	18	Mul	-
682	0	Add	-
683	42	Div	-
684	78	Pow	-
685	18	Mul	-
686	78	Pow	-
687	18	Mul	-
688	0	Add	-
689	78	Pow	-
690	18	Mul	-
691	0	Add	-
692	78	Pow	-
693	18	Mul	-
694	0	Add	-
695	78	Pow	-
696	18	Mul	-
697	0	Add	-
698	92	Square	-
699	59	Neg	-
700	47	Exp	-
701	18	Mul	-
702	41	Sub	-
703	158	Sign	-
704	18	Mul	-
705	6	Dequantize	-
706	22	Reshape	-
707	0	Add	-
708	18	Mul	-
709	6	Dequantize	-
710	22	Reshape	-
711	18	Mul	-
712	22	Reshape	-
713	6	Dequantize	-
714	6	Dequantize	-
715	39	Transpose	-
716	9	FullyConnected	-
717	22	Reshape	-
718	0	Add	-
719	6	Dequantize	-
720	6	Dequantize	-
721	32	Custom	custom_call.LayerNorm
722	34	Pad	-
723	22	Reshape	-
724	39	Transpose	-
725	22	Reshape	-
726	6	Dequantize	-
727	6	Dequantize	-
728	39	Transpose	-
729	9	FullyConnected	-
730	22	Reshape	-
731	39	Transpose	-
732	22	Reshape	-
733	102	SplitV	-
734	22	Reshape	-
735	22	Reshape	-
736	22	Reshape	-
737	39	Transpose	-
738	6	Dequantize	-
739	126	BatchMatmul	-
740	39	Transpose	-
741	22	Reshape	-
742	39	Transpose	-
743	6	Dequantize	-
744	126	BatchMatmul	-
745	39	Transpose	-
746	22	Reshape	-
747	22	Reshape	-
748	39	Transpose	-
749	6	Dequantize	-
750	22	Reshape	-
751	18	Mul	-
752	126	BatchMatmul	-
753	22	Reshape	-
754	0	Add	-
755	0	Add	-
756	22	Reshape	-
757	25	Softmax	-
758	126	BatchMatmul	-
759	22	Reshape	-
760	39	Transpose	-
761	22	Reshape	-
762	6	Dequantize	-
763	6	Dequantize	-
764	39	Transpose	-
765	9	FullyConnected	-
766	22	Reshape	-
767	39	Transpose	-
768	22	Reshape	-
769	45	StridedSlice	-
770	0	Add	-
771	6	Dequantize	-
772	6	Dequantize	-
773	32	Custom	custom_call.LayerNorm
774	22	Reshape	-
775	6	Dequantize	-
776	6	Dequantize	-
777	39	Transpose	-
778	9	FullyConnected	-
779	22	Reshape	-
780	6	Dequantize	-
781	22	Reshape	-
